BorrowFrequency,CategoryAffinity,BookPopularity,RecommendationScore
0.0,12.631579,273.6842,0.553656
0.0,12.631579,294.73685,0.5657111
0.0,12.631579,315.78946,0.5776892
0.0,12.631579,336.8421,0.5895763
0.0,12.631579,357.89474,0.60135967
0.0,12.631579,378.94736,0.6130271
0.0,12.631579,400.0,0.6245659
0.0,14.736842,0.0,0.33093598
0.0,14.736842,21.052631,0.409828
0.0,14.736842,42.105263,0.4131444
0.0,14.736842,63.157894,0.42629305
0.0,14.736842,84.210526,0.44167748
0.0,14.736842,105.26316,0.4545046
0.0,14.736842,126.31579,0.46673018
0.0,14.736842,147.36842,0.47892714
0.0,14.736842,168.42105,0.4911493
0.0,14.736842,189.47368,0.5033795
0.0,14.736842,210.52632,0.51560456
0.0,14.736842,231.57895,0.5278109
0.0,14.736842,252.63158,0.5399843
0.0,14.736842,273.6842,0.5521099
0.0,14.736842,294.73685,0.5641738
0.0,14.736842,315.78946,0.5761626
0.0,14.736842,336.8421,0.588062
0.0,14.736842,357.89474,0.59985965
0.0,14.736842,378.94736,0.6115424
0.0,14.736842,400.0,0.62309825
0.0,16.842106,0.0,0.33108974
0.0,16.842106,21.052631,0.40815425
0.0,16.842106,42.105263,0.4112443
0.0,16.842106,63.157894,0.4239437
0.0,16.842106,84.210526,0.4400243
0.0,16.842106,105.26316,0.45286882
0.0,16.842106,126.31579,0.46517342
0.0,16.842106,147.36842,0.47736612
0.0,16.842106,168.42105,0.4895859
0.0,16.842106,189.47368,0.50181615
0.0,16.842106,210.52632,0.51404256
0.0,16.842106,231.57895,0.5262521
0.0,16.842106,252.63158,0.5384305
0.0,16.842106,273.6842,0.550563
0.0,16.842106,294.73685,0.5626358
0.0,16.842106,315.78946,0.57463443
0.0,16.842106,336.8421,0.5865463
0.0,16.842106,357.89474,0.5983575
0.0,16.842106,378.94736,0.6100556
0.0,16.842106,400.0,0.62162906
0.0,18.947369,0.0,0.3316201
0.0,18.947369,21.052631,0.4065969
0.0,18.947369,42.105263,0.40901724
0.0,18.947369,63.157894,0.42173365
0.0,18.947369,84.210526,0.43833518
0.0,18.947369,105.26316,0.4512341
0.0,18.947369,126.31579,0.4636173
0.0,18.947369,147.36842,0.4758056
0.0,18.947369,168.42105,0.48802257
0.0,18.947369,189.47368,0.5002527
0.0,18.947369,210.52632,0.51248026
0.0,18.947369,231.57895,0.52469265
0.0,18.947369,252.63158,0.5368758
0.0,18.947369,273.6842,0.54901516
0.0,18.947369,294.73685,0.561096
0.0,18.947369,315.78946,0.57310563
0.0,18.947369,336.8421,0.585029
0.0,18.947369,357.89474,0.59685385
0.0,18.947369,378.94736,0.6085668
0.0,18.947369,400.0,0.6201566
0.0,21.052631,0.0,0.33197877
0.0,21.052631,21.052631,0.4050856
0.0,21.052631,42.105263,0.40637377
0.0,21.052631,63.157894,0.41969064
0.0,21.052631,84.210526,0.4365465
0.0,21.052631,105.26316,0.44960043
0.0,21.052631,126.31579,0.462062
0.0,21.052631,147.36842,0.4742454
0.0,21.052631,168.42105,0.48645967
0.0,21.052631,189.47368,0.4986894
0.0,21.052631,210.52632,0.5109177
0.0,21.052631,231.57895,0.523133
0.0,21.052631,252.63158,0.53532064
0.0,21.052631,273.6842,0.5474663
0.0,21.052631,294.73685,0.5595556
0.0,21.052631,315.78946,0.5715748
0.0,21.052631,336.8421,0.58350974
0.0,21.052631,357.89474,0.59534806
0.0,21.052631,378.94736,0.60707635
0.0,21.052631,400.0,0.61868244
0.0,23.157894,0.0,0.3321833
0.0,23.157894,21.052631,0.40357605
0.0,23.157894,42.105263,0.40400982
0.0,23.157894,63.157894,0.41769165
0.0,23.157894,84.210526,0.43448567
0.0,23.157894,105.26316,0.44796783
0.0,23.157894,126.31579,0.4605074
0.0,23.157894,147.36842,0.47268587
0.0,23.157894,168.42105,0.48489693
0.0,23.157894,189.47368,0.49712604
0.0,23.157894,210.52632,0.509355
0.0,23.157894,231.57895,0.5215727
0.0,23.157894,252.63158,0.53376454
